ID_PROVA_BRASIL,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURNO,ID_ALUNO,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,CONDICAO
2015,2,27044327,3,1,2,17848465,12,5,7,ABABBABACBCCC,DADCADDDBBBDA,1,270915231,1.184.210.526.300.000,0.366222,217.854.706.000.000.000,20.176.402.000.000.000,A,B,I,C,C,B,B,B,B,A,B,B,B,C,C,E,B,G,A,A,B,G,A,A,B,A,A,C,B,B,B,B,B,B,C,C,B,A,D,A,B,B,A,A,A,A,B,A,A,B,B,B,C,'ABAIXO DA MEDIA'
2015,2,27044270,3,2,2,17847704.614663,14.818505,5.062017,6.652682,CAAACDCACCDAA,ABDDAADDABADA,1,270915232,1.031.250.000.000.000,0.314966,284.782.509.000.000.000,17.303.448.000.000.000,B,B,H,C,B,B,B,B,A,A,A,A,A,B,D,E,A,C,A,A,A,G,A,A,B,A,A,C,B,B,B,A,B,A,B,C,C,B,B,C,B,B,A,A,A,A,A,A,A,A,A,B,C,'ACIMA DA MEDIA'
2015,2,27044459,3,2,2,17848727.572925,9.846324,5.542038,3.712487,BBADDDCDDABDA,CABAABCCCACDB,1,270915232,1.166.666.666.700.000,0.416686,263.988.621.000.000.000,20.608.829.000.000.000,A,B,A,B,B,B,B,B,A,A,A,A,A,B,C,E,A,B,A,A,A,B,B,B,A,A,A,B,A,B,B,A,B,A,B,C,B,A,B,A,B,B,A,A,A,A,A,A,A,A,A,B,C,'ACIMA DA MEDIA'
2015,2,27044297,3,1,2,17848139,7,7,1,CCDCBCCDDBDDC,CCDCCDCBDCDCD,1,270915231,0.972972973000000,0.417046,199.471.373.000.000.000,22.976.467.000.000.000,B,B,K,C,B,A,A,B,A,A,B,A,A,B,C,D,A,C,A,A,A,B,B,B,A,A,A,B,B,A,B,A,C,A,B,B,C,A,A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,'ABAIXO DA MEDIA'
2015,2,27044270,3,2,2,17847686.726166,12.584148,5.369056,4.168226,BADDAADDBBDDB,BCCBBCBBBCADA,1,270915232,1.031.250.000.000.000,0.410752,321.464.331.000.000.000,22.924.128.000.000.000,B,B,B,C,B,B,B,B,A,A,A,A,A,B,D,D,A,D,A,A,A,D,A,A,A,A,A,B,B,B,B,B,B,A,B,B,C,A,B,B,B,B,A,A,A,A,A,A,A,A,A,B,A,'ACIMA DA MEDIA'
2015,2,27044270,3,2,2,17847704.968695,17.934874,5.233336,3.266046,CAAACDCACCDAA,ABDDAADDABADA,1,270915232,1.031.250.000.000.000,0.331538,284.782.509.000.000.000,17.303.448.000.000.000,B,B,H,C,B,B,B,B,A,A,A,A,A,B,D,E,A,C,A,A,A,G,A,A,B,A,A,C,B,B,B,A,B,A,B,C,C,B,B,C,B,B,A,A,A,A,A,A,A,A,A,B,C,'ACIMA DA MEDIA'
2015,2,27044459,3,2,2,17848715.059879,3.419097,4.707022,4.135517,DBDDBCDACBABA,BDBDAACDBBDBB,1,270915232,1.166.666.666.700.000,0.375908,297.286.829.000.000.000,20.737.803.000.000.000,A,B,A,C,B,B,B,B,A,A,A,A,A,B,E,E,A,B,A,A,A,B,B,B,A,A,A,B,A,B,B,A,B,A,B,C,B,A,B,A,B,B,A,A,A,A,A,A,A,A,A,B,D,'ACIMA DA MEDIA'
2015,2,27044459,3,2,2,17848724.955527,11.264156,4.507078,4.128709,BBADDDCDDABDA,CABAABCCCACDB,1,270915232,1.166.666.666.700.000,0.388636,263.988.621.000.000.000,20.608.829.000.000.000,A,B,A,B,B,B,B,B,A,A,A,A,A,B,C,E,A,B,A,A,A,B,B,B,A,A,A,B,A,B,B,A,B,A,B,C,B,A,B,A,B,B,A,A,A,A,A,A,A,A,A,B,C,'ACIMA DA MEDIA'
2015,2,27044459,3,2,2,17848718.857642,5.792177,2.244443,4,BBBACDCCCACDC,DAADBCDDDBABA,1,270915232,1.166.666.666.700.000,0.392643,314.456.841.000.000.000,20.706.840.000.000.000,A,B,K,C,B,B,B,B,A,A,A,A,A,B,C,D,A,B,A,A,A,B,B,B,A,A,B,C,A,B,B,B,C,C,C,C,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,B,A,'ACIMA DA MEDIA'
2015,2,27044297,3,1,2,17848109,9,2,4,BBAADDCADADDA,BAADAADDBBCDB,1,270915231,1.032.258.064.500.000,0.472018,314.166.664.000.000.000,26.005.059.000.000.000,B,C,K,D,C,A,B,B,A,A,A,A,A,B,C,E,A,D,A,A,C,G,A,A,B,A,A,C,A,A,A,B,C,B,B,C,C,C,A,D,B,B,A,A,A,A,A,A,B,B,A,B,C,'ABAIXO DA MEDIA'
2015,2,27044459,3,2,2,17848718.018699,18.431296,6.559966,5.343762,BADDBADDBBDBB,AADAABDDAAAAA,1,270915232,1.166.666.666.700.000,0.344777,261.866.314.000.000.000,19.033.820.000.000.000,B,B,E,B,B,B,B,B,A,A,A,A,A,C,D,E,A,B,A,A,A,B,B,B,A,A,B,B,B,B,B,B,C,A,B,C,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,B,A,'ACIMA DA MEDIA'
2015,2,27044297,3,1,1,17847975,16,2,5,BBAADDCADADDA,CBDACDBACCDDA,1,270915231,1.071.428.571.400.000,0.392638,313.079.782.000.000.000,21.631.748.000.000.000,B,A,G,C,C,B,B,B,B,B,A,B,B,B,C,D,A,E,A,A,A,G,A,A,A,A,A,C,B,B,C,B,C,A,B,B,C,B,D,B,B,B,A,A,A,A,A,A,A,A,A,B,A,'ABAIXO DA MEDIA'
