ID_REGIAO,ID_ESCOLA,ID_LOCALIZACAO,ID_TURNO,ID_ALUNO,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,CONDICAO
2,27044270,2,2,17847673,CAADBCBCDDDAA,ABCCDDACCAADB,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847674,AAADBABDCBBBC,ABCDDBCCBCDBD,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847675,BDADACBCBAADA,CDCBBCBDDCABC,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847676,CBDCCBCDBACAB,ACBCCBBCCDABB,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847677,ABDCDBBAACBDA,BAACADCAAABAC,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847678,.............,.............,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847679,ADABDCCDADBDB,BAABDDBCCAABA,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847680,CBBDBADDADDCA,BCBBCADCCDAAA,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847681,.............,.............,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847682,ABCCDDACCCADC,AADCBCAACBCBB,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847683,CACCDCCCDDDCA,AADCBCCACCCBB,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847684,DCABABDCCADCB,CDCBBDDBDBCAD,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847685,CBBADBCDBBDCC,ACBBCBADBCACB,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847686,DAACACCACDDBC,CDADACACDCDAA,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847687,AACCBCBACBCCC,ADABCBADCCCAB,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847688,BBBABBBACBDCC,ADBBCBCDCCCCD,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847689,.............,.............,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847690,ADADACBDCBBAA,BAACBAAADABBA,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847691,AADCBCAACBCBB,CCBADBCDBDDCC,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847692,CAADACBDCCADA,CCBADBCDBDDCC,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847693,ABCCDDACCAADA,CDADACBDCBBDA,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847694,CCBADBCDBADBC,BCDBBDADACDBD,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847695,ABCCDDACCCADC,CCBADBCDBDDCC,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847696,CCCAADAABB.CC,ABBCDDACCDDAB,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847697,CDADBCCCDACAA,ADBDAAACCDAAA,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847698,AAACADACCACCD,CBBDBACCCDBDA,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847699,CCDDBCAAACCDA,ABCCDDACCCADA,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847700,ABBADAADCCDDA,AADDBBCCADCDC,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847701,CDADACACCCAAA,AADABDBACADAC,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847702,BBDDDCDDBDDCD,DDCDBDAADBCCA,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847703,DCCBADCDBCDAC,ABCCDBACCBADC,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847704,BCBCAABACCBDA,CCBDBCCDADCDD,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847705,ADCCBDAAACCBB,CBABCCACDCCDC,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847706,DCABCDCDBCCCC,CABDCCBCDDDDC,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847707,.............,.............,270915232,'ACIMA DA MEDIA'
2,27044270,2,2,17847708,AADCBAAACBCAC,ABBDBCAACDDAD,270915232,'ACIMA DA MEDIA'
2,27044289,1,1,17847709,CDCBBDAABCDBD,CBADCAAADCCCA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847710,CCCBBBDDBCCBC,CCBDBCBCDCACB,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847711,ABCDBCBADDCAB,CDCDACAABBDDA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847712,.............,.............,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847713,ABBDDBBBDCADA,BBABCAADACCCC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847714,ACBDDADCCDAAD,CDCCBBBDDDCCA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847715,.............,.............,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847716,ABBBACACDCDAC,CCCBAABDCABAD,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847717,CAADACACCBCDD,ACCCABDDBADCC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847718,DACDDBCCCABAD,BBCDACACDADBB,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847719,BABBCCDDBCDAC,BCBCBDAAACCBA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847720,DBBCCDACBCCAC,CAACADAADCADA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847721,DAAAACAACABBA,ADBADCAABAACA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847722,AABCCABBBAABB,CCABCBDCBDABC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847723,ADDBBCAAAACDA,DABABBBCCABAA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847724,CCAADABBAACBC,AADDADADCCAAB,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847725,ADCABDABBCDDA,CACACABADBABC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847726,ACACACAACBBBA,BCCBABCDDDDCC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847727,CCCDBCADDBDBB,CBBDAADADBCBC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847728,ACDDABBAAAABC,DBBDDBAADACAB,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847729,.............,.............,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847730,ACADBABCADBBC,CCCDDCCCCBCCC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847731,CDBDBBADDCCCD,CACBAAAADCBDC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847732,ACDCACAACBBBA,BCBADBCCBCBAC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847733,DAABDBAACBCCA,AACBACAAAADAA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847734,BDBCBCABBBDCA,AABCBABCBAADC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847735,DDABBCBDACBCC,BABBABDDBADCC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847736,CCADACCDCBADC,ACDCBCAACCBCD,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847737,C*DDAAACCBCDD,ACDCABDDBADBB,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847738,BDBBABDDBCDCC,ADCBACAAACDDA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847739,BBCBBDCDCDABC,BBDABAACCBBAB,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847740,BDBCBCBDDDCCB,AACBACAAAADAA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847741,AACDDCACADDBD,CDDAAACADDCDA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847742,BDDCBBBDDABBD,DDDBC*DDCAD*C,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847743,DBDCDAACACABC,ABDBBBBDDBADA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847744,DAACACAACBBCA,BCBBBBCCADDCB,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847745,AADDDDCCACCAC,AAACBBACDCBBB,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847746,BDDCACAAACCBA,ACADAADCCBABD,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847747,.............,.............,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847748,.............,.............,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847749,ACABDCCDABBDA,CBCCAAAABAAAA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847750,DBACBDAAABCDD,CBDACADBA*BCA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847751,ACDCBBCBCADAD,BBCCBCACDACBA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847752,ABCCDCBDCDBCB,BACACABABBBDC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847753,DACDDCCACDBAC,DBCCBCCBCDCDA,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847754,CCCABCCDACDDD,ADDDBDAAAAADC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847755,DBDCCDAACBBBC,CCBDAACCCDABC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847756,AAADBABCAAACA,CABBBBACABCAB,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847757,AAADCCBAAABDA,BDBCCBDABDDCC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847758,CCBDCACDBBADD,CCABCAADBCBAB,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847759,CADDCABADCCBC,ABADCCBDCADCC,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847760,BAAADCDDDCCCB,ACBACBABDBCAB,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847761,.............,.............,270915231,'ABAIXO DA MEDIA'
2,27044289,1,1,17847762,BAAADCDDDCCCB,ACDBBCACDBCAB,270915231,'ABAIXO DA MEDIA'
