TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
A,B,H,D,B,B,B,B,B,A,A,A,B,B,D,F,A,B,G,A,A,A,G,A,A,B,A,A,A,A,A,C,A,C,A,C,C,B,C,E,B,B,A,C,A,A,B,A,B,A,C,'ABAIXO DA MÉDIA'
B,B,J,D,D,B,C,D,A,D,A,A,A,C,D,E,A,A,C,A,A,A,C,A,A,A,A,A,A,A,A,C,B,B,A,B,B,A,B,C,A,B,B,C,A,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
A,F,B,C,B,B,B,B,B,A,A,B,B,B,C,D,A,C,G,B,A,A,G,A,B,B,A,A,A,A,A,C,C,C,B,C,C,C,C,B,E,B,B,A,A,B,A,A,A,A,C,'ABAIXO DA MÉDIA'
B,A,D,D,C,B,C,B,B,A,A,A,B,B,D,D,A,A,G,A,A,C,G,A,A,A,A,A,A,A,A,C,A,B,A,A,B,A,B,B,C,B,A,B,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,B,L,D,C,B,C,C,B,B,B,A,D,C,C,D,A,A,E,A,A,A,F,A,A,A,A,A,A,A,A,B,A,C,A,B,C,A,A,B,B,B,A,C,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,B,C,C,C,B,B,B,B,A,B,A,A,B,D,F,A,A,G,B,B,A,C,A,A,B,A,A,A,A,B,C,C,C,B,B,C,C,C,A,B,B,A,C,A,A,B,A,B,A,B,'ABAIXO DA MÉDIA'
A,B,I,D,C,B,C,B,B,B,A,A,A,B,B,E,A,A,C,A,A,A,G,A,B,B,A,A,A,A,A,B,B,C,B,C,C,C,C,A,C,B,C,A,A,A,B,A,B,A,C,'ABAIXO DA MÉDIA'
B,B,B,C,E,D,B,B,B,A,B,C,B,C,E,F,A,B,G,A,A,B,G,A,A,B,A,A,A,A,B,C,B,A,B,C,C,C,C,A,A,B,B,C,A,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
B,F,H,D,D,C,D,C,C,A,B,A,C,C,D,F,A,A,E,A,A,B,E,A,A,A,A,A,A,A,A,C,A,B,B,A,B,A,B,B,A,B,A,C,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,B,I,D,C,A,C,C,B,B,B,C,C,C,D,D,A,A,F,A,A,A,E,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,C,D,A,A,C,A,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
A,B,F,D,D,E,C,C,C,B,B,A,B,B,C,E,A,B,E,A,B,B,C,A,B,B,A,A,A,A,B,B,C,C,B,C,C,B,C,B,E,B,C,A,A,A,B,A,B,A,C,'ABAIXO DA MÉDIA'
B,B,H,D,B,B,B,B,A,A,A,A,A,B,C,C,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,C,B,C,B,C,C,B,C,C,A,B,C,C,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,A,B,C,E,C,B,E,A,B,B,C,E,E,E,F,A,A,G,A,A,C,G,A,A,A,A,A,A,A,A,C,B,C,C,B,C,C,B,C,E,B,A,A,A,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
B,B,H,D,C,B,C,B,B,A,B,A,B,B,C,D,A,A,G,A,A,B,G,A,A,C,A,A,A,A,A,C,B,C,B,C,C,C,C,B,A,B,B,B,A,A,A,A,B,A,C,'ABAIXO DA MÉDIA'
A,A,J,D,D,B,C,B,B,A,B,A,B,B,C,C,A,A,E,A,A,A,C,A,A,A,A,A,A,A,A,B,A,C,B,A,B,B,B,D,A,B,B,C,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,B,I,C,B,B,B,B,B,A,B,A,A,B,C,E,A,B,E,A,A,B,G,A,A,B,A,A,A,A,A,B,A,B,B,A,A,B,B,A,E,B,A,B,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,F,B,E,C,A,E,B,B,A,A,A,D,C,C,F,A,A,C,A,A,A,G,A,A,B,A,A,A,?,A,C,A,C,A,C,B,B,C,B,B,B,B,A,B,A,B,B,B,B,B,'ABAIXO DA MÉDIA'
B,F,J,F,C,C,C,B,A,A,B,B,B,B,D,E,A,A,D,A,A,B,G,A,A,A,A,A,A,A,A,C,A,A,A,A,B,A,B,C,C,B,A,A,B,A,A,B,A,A,B,'ABAIXO DA MÉDIA'
B,C,L,C,A,B,E,B,B,A,B,B,B,B,C,E,A,A,E,A,A,A,G,A,A,A,A,A,A,A,A,C,A,C,A,A,B,A,A,C,C,B,A,A,A,A,B,B,B,B,B,'ABAIXO DA MÉDIA'
B,B,D,D,C,C,B,C,C,A,C,A,A,B,C,E,A,A,C,A,A,B,A,B,B,A,A,A,A,A,A,C,A,B,A,A,B,B,B,A,B,B,B,A,A,A,A,B,B,B,B,'ABAIXO DA MÉDIA'
B,B,H,D,B,A,B,B,B,A,A,A,A,B,C,E,A,A,A,A,A,B,A,A,B,B,A,A,A,A,B,C,B,C,C,C,C,B,B,A,E,B,B,A,A,A,A,B,B,B,B,'ABAIXO DA MÉDIA'
A,B,F,E,B,B,B,B,B,A,B,A,B,B,C,C,A,A,D,A,A,A,B,A,A,B,B,A,A,A,B,C,A,C,B,A,C,A,C,C,C,B,C,C,A,A,C,C,A,A,D,'ABAIXO DA MÉDIA'
B,F,D,D,C,A,B,B,B,A,B,A,B,C,C,F,A,A,G,A,A,B,G,A,B,A,A,A,A,A,B,C,A,C,B,A,B,B,A,A,A,B,A,A,A,A,A,B,B,B,B,'ABAIXO DA MÉDIA'
B,B,I,D,C,B,B,B,B,A,B,A,A,B,C,D,A,A,D,A,A,C,G,A,A,B,A,A,A,A,A,C,B,B,B,C,B,B,B,B,A,B,D,C,A,A,B,B,B,B,B,'ABAIXO DA MÉDIA'
A,E,L,C,C,A,B,B,B,A,B,B,B,B,C,C,A,A,C,A,A,A,C,A,A,A,A,A,A,A,A,C,A,B,A,A,B,B,C,D,E,B,B,A,A,A,B,B,A,A,B,'ABAIXO DA MÉDIA'
B,F,F,D,?,A,B,B,A,A,B,A,A,B,C,F,A,A,F,A,A,C,G,A,A,A,A,A,A,A,B,C,B,B,B,B,B,C,C,C,B,B,C,C,A,A,B,B,B,B,B,'ABAIXO DA MÉDIA'
A,B,F,D,A,C,B,B,B,?,C,B,B,B,C,F,A,A,G,B,B,B,G,A,A,B,A,A,A,A,A,C,B,C,C,A,C,C,C,B,D,A,B,B,A,B,A,B,A,B,B,'ABAIXO DA MÉDIA'
A,A,E,D,D,B,B,B,A,A,B,B,A,B,C,E,A,C,B,A,A,B,G,A,B,?,A,A,A,A,B,C,B,B,B,B,C,B,C,D,A,B,B,C,A,A,B,B,B,B,B,'ABAIXO DA MÉDIA'
B,A,J,D,D,B,D,B,B,A,B,A,A,B,D,F,A,A,B,A,A,B,C,A,A,A,A,A,A,A,A,C,B,A,A,A,B,B,B,A,A,B,B,C,A,A,A,B,A,A,B,'ABAIXO DA MÉDIA'
B,F,A,D,C,A,C,B,B,A,B,C,B,C,D,F,B,A,C,A,A,A,D,A,A,B,A,A,A,A,A,C,B,B,A,A,B,A,B,A,D,B,B,A,A,A,A,B,A,B,B,'ABAIXO DA MÉDIA'
A,F,E,D,C,B,B,B,B,A,B,A,A,B,?,D,A,A,C,A,A,A,E,A,A,A,A,A,A,A,A,C,A,C,C,C,C,A,C,C,A,B,B,B,A,B,A,B,A,B,B,'ABAIXO DA MÉDIA'
A,B,J,D,B,C,B,B,B,A,A,A,B,B,B,C,A,A,G,A,A,A,G,A,A,C,A,A,A,A,A,B,B,C,C,A,B,B,B,D,E,B,B,C,A,A,B,A,B,A,B,'ABAIXO DA MÉDIA'
A,B,B,G,C,B,C,D,B,A,C,D,B,D,D,E,A,C,C,A,A,A,G,A,A,C,A,A,A,A,A,B,A,B,B,B,C,B,A,C,A,A,C,C,C,B,B,B,B,A,B,'ABAIXO DA MÉDIA'
A,B,C,G,A,A,C,C,A,A,A,A,A,C,C,A,A,A,G,A,A,B,G,A,B,A,A,A,A,A,A,C,A,B,C,B,C,B,A,B,A,B,C,C,A,A,B,A,D,A,B,'ABAIXO DA MÉDIA'
A,B,E,E,C,B,B,A,A,A,B,B,B,C,E,A,A,A,C,A,A,A,C,A,B,C,B,B,A,A,A,A,B,C,B,A,B,C,A,A,A,B,B,A,A,A,A,B,B,A,B,'ABAIXO DA MÉDIA'
B,E,C,D,B,B,B,B,B,A,A,A,A,C,D,B,A,A,F,A,A,C,F,A,A,B,A,A,A,A,A,B,B,B,B,C,C,B,B,A,E,B,B,C,B,A,B,A,B,A,B,'ABAIXO DA MÉDIA'
B,A,G,D,C,C,D,B,B,A,A,A,B,B,C,C,A,B,G,A,B,A,G,A,A,C,A,A,A,A,B,A,B,A,A,A,B,C,B,D,E,B,B,C,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,A,L,E,B,A,B,B,B,A,A,A,B,B,C,E,A,A,C,A,A,C,C,A,A,A,A,A,A,A,A,B,A,A,B,A,B,B,C,C,E,B,B,C,B,A,A,A,A,A,C,'ABAIXO DA MÉDIA'
B,C,H,G,B,B,B,C,B,A,C,A,A,C,D,D,A,A,G,A,A,B,G,A,B,C,A,A,A,A,A,A,A,C,B,A,C,A,A,D,C,B,A,A,B,A,B,A,A,A,B,'ABAIXO DA MÉDIA'
A,B,A,C,C,A,C,B,B,A,B,A,A,B,B,D,A,A,B,A,A,A,G,A,A,B,A,A,A,A,B,B,A,C,B,C,C,B,A,D,E,B,B,A,B,A,A,A,B,B,C,'ABAIXO DA MÉDIA'
B,A,J,D,C,B,B,B,B,A,B,A,B,B,C,D,A,A,G,A,A,A,G,A,A,B,A,A,A,A,A,B,A,B,A,B,C,B,C,A,B,B,B,A,A,A,B,A,B,B,B,'ABAIXO DA MÉDIA'
B,B,E,E,B,A,B,B,A,A,A,A,A,B,B,B,A,B,G,B,B,A,G,A,A,B,A,A,A,A,A,B,B,B,B,B,C,A,A,C,A,B,A,C,B,A,B,A,B,A,B,'ABAIXO DA MÉDIA'
B,A,E,E,A,A,A,B,A,B,B,A,B,B,D,F,A,B,G,A,A,B,G,A,B,C,A,A,A,A,A,B,A,C,A,B,C,C,C,E,E,B,C,A,A,A,B,A,A,A,B,'ABAIXO DA MÉDIA'
B,A,G,D,E,A,E,D,D,A,C,A,B,C,E,F,A,A,E,A,A,A,G,A,A,C,A,A,A,B,A,C,B,A,A,A,C,B,B,D,D,B,A,C,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,B,B,D,C,B,D,B,B,A,B,B,C,B,C,D,A,B,E,A,A,A,D,A,A,B,A,A,A,A,A,B,A,A,C,A,C,B,A,C,A,B,A,B,B,A,B,A,A,A,B,'ABAIXO DA MÉDIA'
B,B,B,C,B,B,B,B,A,A,B,A,A,B,C,C,A,B,G,B,B,B,G,A,A,C,A,A,A,A,A,C,A,C,C,C,C,C,C,D,D,B,A,C,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
A,C,D,C,C,E,C,B,A,A,A,A,A,B,C,D,A,A,G,A,A,A,G,A,A,A,A,A,A,A,B,C,B,B,B,C,C,C,C,D,A,B,A,A,A,A,A,A,A,A,B,'ABAIXO DA MÉDIA'
B,B,E,D,B,B,B,B,B,A,A,A,A,B,D,D,A,A,B,A,A,A,B,A,B,C,A,A,A,A,A,C,A,A,B,A,C,B,C,D,C,B,B,C,B,A,B,A,A,A,C,'ABAIXO DA MÉDIA'
B,B,B,D,D,B,D,B,B,A,B,B,D,B,D,F,A,C,G,A,A,C,G,A,A,A,A,A,A,A,A,C,B,A,B,A,B,A,B,D,A,B,B,C,B,A,A,A,A,A,B,'ACIMA DA MÉDIA '
B,B,D,C,B,A,B,B,B,A,B,B,C,B,C,D,A,A,E,A,A,A,E,A,B,A,A,A,A,A,A,C,B,C,B,C,B,C,B,A,E,B,B,B,A,A,A,A,A,A,B,'ACIMA DA MÉDIA '
A,B,C,C,C,B,B,D,D,A,B,A,A,B,D,F,A,A,G,A,A,C,G,A,A,A,A,A,A,A,A,B,A,B,A,A,B,B,B,A,B,B,C,A,A,A,A,A,A,A,B,'ACIMA DA MÉDIA '
B,E,I,D,C,A,B,B,A,A,A,A,A,B,C,F,A,A,G,B,B,B,G,B,B,A,A,A,A,A,A,B,B,B,A,A,B,B,C,A,B,A,C,C,B,A,A,A,A,A,B,'ACIMA DA MÉDIA '
B,B,E,C,B,A,B,B,A,A,A,C,B,B,B,C,A,A,F,A,A,B,F,A,A,A,A,A,A,A,A,C,B,B,A,A,A,B,C,B,A,B,C,A,A,A,A,A,A,A,A,'ACIMA DA MÉDIA '
B,B,A,C,B,A,B,B,B,A,B,A,A,B,C,D,A,C,G,A,A,A,G,A,A,A,A,A,A,A,A,C,A,B,A,C,A,B,C,B,A,B,B,C,A,A,A,A,A,A,B,'ACIMA DA MÉDIA '
